return-average,epoch
154.5063505965,820
3499.0276149488,821
3205.1616618087,822
3200.0734538311,823
1746.2836141358,824
2537.201258876,825
1584.2388748886,826
1355.7982602384,827
284.6413711579,828
429.8594461361,829
801.7629474017,830
3194.3844472075,831
134.263396699,832
2789.9718216779,833
2049.8573985967,834
998.3155444322,835
2044.1534213323,836
1839.7872859651,837
1992.2491392041,838
2409.7599004687,839
1098.7592191383,840
521.5979679738,841
3433.3326975772,842
1787.4754784578,843
735.6899130406,844
2728.5437112891,845
491.0145842874,846
750.6301197668,847
1472.1710951514,848
1367.9562566702,849
3243.5867087923,850
642.486803504,851
2179.4701454474,852
1635.9565811872,853
1589.8062749816,854
3544.2150711363,855
534.2845964204,856
1493.1629001851,857
511.9769050079,858
1097.4041040164,859
3292.3499860162,860
1532.2352930963,861
2189.4799571299,862
2547.4143706954,863
2568.4545866539,864
769.2219256059,865
3468.7498425732,866
809.1298521407,867
2471.2716643801,868
2031.0782032747,869
1007.5275504383,870
499.7812461768,871
881.8687033245,872
1124.0029775067,873
626.9374822892,874
678.1933377267,875
2732.0742824628,876
154.3474285162,877
1866.3691830784,878
3312.7976201108,879
2541.5500958958,880
774.0290075005,881
1089.1797100857,882
1512.8437327347,883
823.5679817202,884
1036.4040430574,885
1582.3719622886,886
3295.3918541651,887
2939.8391247729,888
2815.2275053114,889
856.7784729984,890
1166.0152272144,891
3227.3867808242,892
3557.0090044294,893
601.3936734019,894
50.6038138183,895
944.8181049355,896
2926.609638355,897
671.5638531481,898
1476.2227360645,899
3169.4196250587,900
2325.3276263793,901
1458.9304564329,902
655.5907117628,903
361.1582835587,904
776.459593644,905
2926.0227666884,906
393.1545109377,907
1320.0162036423,908
3152.5558077243,909
208.767210035,910
509.8636119247,911
1012.0302898334,912
2355.5800665085,913
225.655980351,914
744.936751254,915
3482.0490344312,916
2283.5173108468,917
554.9265024096,918
2803.4015045253,919
3056.7475494045,920
2981.6359240022,921
359.3749097619,922
622.8297683164,923
1197.5920063529,924
2877.5792464626,925
419.6523536166,926
1207.9669471174,927
168.0355816652,928
2032.5298898425,929
1216.4754625238,930
381.4818022074,931
3979.7283837452,932
2256.2467839357,933
2980.2203408704,934
677.6828062201,935
455.8679163319,936
3341.014120347,937
616.7538875343,938
1027.3055105143,939
374.9167655427,940
1969.5814191472,941
1752.6731355327,942
2414.3000207502,943
2617.9706975503,944
1563.2247784073,945
2145.1432383413,946
2957.1892220989,947
800.6171877453,948
1415.6037008045,949
3214.3803082187,950
3696.9991463841,951
3284.6075534833,952
1987.1087461041,953
18.172606209,954
122.1227786263,955
283.2544785102,956
662.3340071427,957
3285.9077678398,958
205.9433215519,959
1108.926758766,960
2263.110299883,961
3434.0129099868,962
2841.8318399447,963
1091.3354399981,964
3419.457253365,965
2399.3523788886,966
1785.0833353819,967
713.9592930447,968
1143.7782671968,969
2050.8054023314,970
2514.4847423182,971
288.3635695884,972
2291.4995890163,973
3129.330256702,974
2729.9501242706,975
1959.9213469415,976
1118.6088576504,977
2753.5792010338,978
2676.0689328374,979
1585.5874539407,980
840.7672497558,981
2313.5155456967,982
1523.5211456882,983
2678.5738690745,984
522.2908701353,985
3238.9116564993,986
2314.2616242141,987
3357.151308722,988
2545.6879480377,989
626.4783522337,990
1564.140742879,991
486.1567630985,992
57.6008391553,993
733.8622772628,994
1732.6232438403,995
3103.5170244152,996
2788.3052904287,997
3051.4953933992,998
3895.3732665995,999
291.7735618409,1000
656.0810562626,1001
1725.3500967818,1002
2986.8817128666,1003
3786.5418538648,1004
953.3797075069,1005
162.3487559494,1006
1388.3508385235,1007
1463.9159253694,1008
3642.4384254505,1009
2523.9438028859,1010
2931.9873995936,1011
2218.2940993706,1012
612.7369361674,1013
225.3808631758,1014
1519.5439821274,1015
2779.7247562471,1016
514.9740993756,1017
2116.7599819635,1018
1097.7510113829,1019
3312.0231865854,1020
3543.2019949658,1021
85.7003888162,1022
3314.6930415333,1023
1220.2441178088,1024
583.9750508413,1025
1940.1580150173,1026
1306.4108908352,1027
3041.4197217156,1028
1418.478811033,1029
26.2039237768,1030
